"date,"	value
"2008-12-31,"	27.12
"2009-12-31,"	28.56
"2010-12-31,"	29.37
"2011-12-31,"	30.01
"2012-12-31,"	31.55
"2013-12-31,"	31.89
"2014-12-31,"	32.65
"2015-12-31,"	32.78
"2016-12-31,"	32.96
"2017-12-31,"	33.41
"2018-12-31,"	33.54
"2019-12-31,"	34.05
"2020-06-30,"	32.02
