time,World,Advanced Economies,Emerging market and developing economies excluding China
2019:Q1,100.0,100.0,100.0
2019:Q2,100.8,100.4,100.9
2019:Q3,101.5,100.8,101.5
2019:Q4,102.1,100.9,102.1
2020:Q1,98.6,98.9,101.3
2020:Q2,93.8,86.8,89.5
2020:Q3,98.9,91.5,96.0
2020:Q4,101.8,94.3,99.0
2021:Q1,103.1,95.7,100.4
2021:Q2,104.3,97.1,101.2
2021:Q3,105.4,98.2,102.3
2021:Q4,106.5,99.1,103.3
